Term,Definition
window open,"time period when a maintenance fee can be paid with or without a surcharge.       -- see MPEP 2506"
WINS,Windows Internet Naming Service
WIPO,"World Intellectual Property Organization      an intergovernmental organization of the United Nations system. WIPO is responsible for the promotion of the protection of intellectual property throughout the world and for the administration of various multilateral treaties dealing with the legal and administrative aspects of intellectual property.       -- see MORE INFO about International Intellectual Property protection"
withdrawn claim,"a non-elected claim      ""Withdrawn"" is the status identifier that should be used for claims that were not elected (chosen by the applicant to remain under consideration) in response to a restriction requirement.       -- see MPEP 803.01, 803.02 and 803.03       Further, an appellant (one who is appealing an examiner's final rejection to the Board of Patent Appeals and Interferences) may withdraw some of the appealed claims, resulting in cancellation of the withdrawn claims     -- see MPEP 1214.05"
withdrawn patent,"an allowed application for patent in which the applicant files correspondence to withdraw the patent from issue; ;thus preventing it from issuing on the patent issue date.Â  TheÂ printed document is sometimes available onÂ the day of publication, but is later retracted and will not be available in the patent database.Â  NoÂ copy ofÂ the patent document will appear on the official USPTO web site.Â      -- see 37 CFR 1.313 and 1.114 for more"
word mark,a type of trademark comprised of text
workflow,"the ""flow of work""       Workflow diagrams are a formal way to  identify procedural steps and the logic employed in a process used to complete a task or job. Workflow diagrams include each interim step and product(s); the direction of movement through the process (indicated by arrows);  decision points, alternative processes and repeated steps, and dependencies (steps or processes that must be completed before, during or after completion of a particular step); and can include the estimated time required for each step, who performs or reviews each step, and resource requirements. Depending on the type of workflow diagramming method used,  the start and end points of each interim step may be listed separately or the entire process step can be indicated by a single notation."
workflow incoming amendment IFW,from Public PAIR/IFW - designates the point in time when an amendment is received in the Office and the paper scanning process may be started at the USPTO; does not indicate whether scanning has actually started.
WPPT,WIPO Performances and Phonograms Treaty
WTO,"World Trade Organization     -- see MORE INFO about International Intellectual Property protection"
WTO,"World Trade Organization     -- see MORE INFO about International Intellectual Property protection"
XML,"eXtensible Markup Language - a subset of SGML, or standard generalized markup language; a structured language that facilitates the standardized representation of format and representation and organization of data in an automated environment, such as the use of a browser on a webpage."
X patent,"In the 46 years prior to the Great Fire of 1836, the United States government had issued about 10,000 patents. Most of these could never be revived again, but Congress acted to restore those records that could be reconstructed from private files and reproduce models which were deemed critical. Patents whose records were not restored were cancelled. There were a total of 2,845 patents restored, most of which were eventually given a number beginning with ""X"". All patents after the date of the establishment of the Patent Office in July 1836 were numbered as a new series (without the X), beginning with a new Patent No. 1 to John Ruggles. A small number of the new series patents had been destroyed in the Great Fire but they were quickly recovered from their owners' records.     X files bear numbers that range from X000001 to X011280. X0000001 is the first patent, issued to Samuel Hopkins in 1790."
